"path_absoluto","nome_arquivo","extensao","tamanho_bytes","data_criacao","data_modificacao","sha256","tipo_classificado"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\2015-state-of-devops-report.pdf","2015-state-of-devops-report.pdf",".pdf","3231204","2026-05-25 04:01:01","2026-05-25 04:01:01","F84D92AA21AF702B8BABD00D01BBF66F2660768299EAB327A2E71B9D25AD2AC3","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Capacidades_ Automação de testes.pdf","DORA _ Capacidades_ Automação de testes.pdf",".pdf","647052","2026-05-25 04:01:31","2026-05-25 04:01:31","25712DE0ED3BB84AC08CC3E1EC16FCF667EE1EA74E6FA9F7360AF5489ED118F2","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Padrões - Entrega Contínua PIPELINE.pdf","Padrões - Entrega Contínua PIPELINE.pdf",".pdf","630039","2026-05-25 04:02:20","2026-05-25 04:02:20","B349E64595F689DCF7D584EEACC95123FDFFE7104439A92215D5FB7777E41F5D","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Desenvolvimento Orientado a Testes _ Test-driven development - Wikipedia.pdf","Desenvolvimento Orientado a Testes _ Test-driven development - Wikipedia.pdf",".pdf","455324","2026-05-25 04:03:10","2026-05-25 04:03:10","D5196A36D7812831B2E820EB76E4BB14B6423FD157908BB22D7C3642D5CFF7AB","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\2016-state-of-devops-report.pdf","2016-state-of-devops-report.pdf",".pdf","3616812","2026-05-25 04:03:20","2026-05-25 04:03:20","B45CC26239EBAB152D5FCC345526208433E21C18D4E01B39F16953588012F83F","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\2018-dora-accelerate-state-of-devops-report.pdf","2018-dora-accelerate-state-of-devops-report.pdf",".pdf","1761255","2026-05-25 04:03:56","2026-05-25 04:03:56","BD3690E42D3F1E5EDAAB3E00A158D8FE0DB299C67F1E726ED59EC6200DC3FE5E","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Capacidades_ Dados internos acessíveis por IA.pdf","DORA _ Capacidades_ Dados internos acessíveis por IA.pdf",".pdf","485119","2026-05-25 04:05:28","2026-05-25 04:05:28","43DBA3A300429323F8B95585CAD5BEC2D378B62AEB215E363A11BD16370E585B","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\O que é a geração aumentada de recuperação (RAG)_ _ Google Cloud.pdf","O que é a geração aumentada de recuperação (RAG)_ _ Google Cloud.pdf",".pdf","485687","2026-05-25 04:07:55","2026-05-25 04:07:55","4D36915854C5CEEF751FB09DF6E2C1A71FFEA5D57AD95A163D9E2AFAE4884106","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\O que é o protocolo de contexto de modelo (MCP)_ Um guia _ Google Cloud.pdf","O que é o protocolo de contexto de modelo (MCP)_ Um guia _ Google Cloud.pdf",".pdf","269305","2026-05-25 04:08:15","2026-05-25 04:08:15","6477EAB8F3664E9EAF6B03BC00E6DB1A4016ED498B33449355A5FFE327CE8232","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Perguntas da Pesquisa Modelo de capacidades de IA da DORA.pdf","DORA _ Perguntas da Pesquisa Modelo de capacidades de IA da DORA.pdf",".pdf","554992","2026-05-25 04:08:59","2026-05-25 04:08:59","6864EF9C980999E161CEDCD4952B3F8EB1639C9869F0F621C3084036FF984505","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Capacidades_ Foco no usuário.pdf","DORA _ Capacidades_ Foco no usuário.pdf",".pdf","335823","2026-05-25 04:10:45","2026-05-25 04:10:45","330126048351D627F13D1E42B0F57CDA706E775813A2EB775320C9C0EA3600A1","B"
